Matriz 1
[2,-8,4,5,-5,-1,-2,6,-4,2,]
[9,4,-1,-6,9,-8,4,7,5,7,]
[9,0,1,-3,-2,9,-3,5,-8,9,]
[9,-8,-4,0,-3,-9,9,-2,9,-6,]
[5,6,1,8,-3,2,1,7,0,0,]
[-7,7,-1,8,-4,-7,0,4,4,-7,]
[6,-5,7,-7,-6,1,-6,-5,5,0,]
[3,6,-2,4,-3,6,0,1,-6,5,]
[-1,3,0,9,-8,9,3,-5,5,-7,]
[6,-9,1,5,-3,2,4,-3,7,-1,]




Matriz 2
[6,-7,-6,-5,3,5,6,0,5,8,]
[3,-4,2,6,-4,-6,-1,-5,-8,-4,]
[-3,3,5,3,6,-4,2,-1,8,4,]
[-8,5,-1,-8,-1,-2,8,6,0,-9,]
[-7,7,6,7,9,-7,6,7,-5,-3,]
[3,-6,-7,-4,4,-1,-2,7,7,-5,]
[1,-3,2,8,-2,7,1,-1,9,7,]
[4,0,3,-6,0,6,-3,3,-6,0,]
[-3,-2,8,6,6,-7,-7,-1,-7,-2,]
[6,-9,-7,1,3,-3,0,-4,-9,1,]




Matriz resultante
[14,22,-68,-191,-6,112,48,40,80,35,]
[89,-86,85,146,103,-4,18,-64,-200,144,]
[211,-199,-239,-161,39,90,40,20,44,68,]
[-26,-1,81,42,-10,145,6,-40,113,181,]
[37,-52,-30,-113,-32,37,48,30,-19,-46,]
[-113,127,161,3,-124,-37,-37,-27,-117,-128,]
[60,-76,-34,-17,79,-20,-65,-73,104,120,]
[101,-121,-160,-99,-55,27,49,6,-1,-48,]
[-60,-26,-28,-64,-57,-17,-20,51,159,-118,]
[-42,-28,-24,-59,67,53,29,51,153,55,]




